Date,Open,High,Low,Close,Volume,OpenInterest,5 day sma,200 day sma,rsi,macd,signal,histogram
2019-10-09,34.33,34.625,34.175,34.49,1026190,0.0,,,,,,
2019-10-10,34.48,34.84,34.34,34.81,461662,0.0,,,,,,
2019-10-11,35.19,35.51,35.0,35.17,1154310,0.0,,,,,,
2019-10-14,35.04,35.16,34.87,35.06,603085,0.0,,,,,,
2019-10-15,35.21,35.405,35.095,35.31,470421,0.0,34.968,,,,,
2019-10-16,35.27,35.46,35.1,35.39,472365,0.0,35.148,,,,,
2019-10-17,35.52,35.79,35.41,35.63,1551661,0.0,35.312,,,,,
2019-10-18,35.66,36.25,35.55,35.96,697622,0.0,35.470000000000006,,,,,
2019-10-21,36.15,36.63,35.93,36.63,1036621,0.0,35.784000000000006,,,,,
2019-10-22,36.14,36.435,35.79,35.97,1710695,0.0,35.916000000000004,,,,,
2019-10-23,37.25,40.07,37.25,38.54,3448280,0.0,36.54600000000001,,,,,
2019-10-24,38.53,38.68,37.92,38.6,961330,0.0,37.14,,,,,
2019-10-25,38.53,38.76,38.14,38.39,743663,0.0,37.626000000000005,,,,,
2019-10-28,38.52,38.98,37.96,38.0,1627040,0.0,37.900000000000006,,,,,
2019-10-29,37.94,38.25,37.81,38.18,1169113,0.0,38.342000000000006,,78.69362363919124,,,
2019-10-30,38.17,38.47,38.06,38.12,666101,0.0,38.25800000000001,,77.9106952505033,,,
2019-10-31,38.02,38.165,37.8641,38.12,469639,0.0,38.16200000000001,,77.9106952505033,,,
2019-11-01,38.3,38.7,38.08,38.68,780279,0.0,38.22000000000001,,80.05828420954722,,,
2019-11-04,38.87,38.99,38.255,38.64,604181,0.0,38.34800000000001,,79.46399729050894,,,
2019-11-05,38.66,38.81,38.49,38.7,509088,0.0,38.45200000000001,,79.7073325115125,,,
2019-11-06,39.02,39.09,38.38,38.41,671298,0.0,38.510000000000005,,75.07684712060019,,,
2019-11-07,38.35,39.08,38.35,38.91,852448,0.0,38.668000000000006,,77.50346082068118,,,
2019-11-08,38.8,38.97,38.56,38.69,601836,0.0,38.67,,74.08549127584436,,,
2019-11-11,38.4,38.58,38.27,38.34,346271,0.0,38.61,,68.88101895911097,,,
2019-11-12,38.34,38.385,37.48,37.52,846701,0.0,38.374,,58.510350939677416,,,
2019-11-13,37.31,37.82,37.31,37.45,2351965,0.0,38.182,,57.711549616150556,0.7541627965009639,,
2019-11-14,37.44,37.505,36.75,37.48,3387534,0.0,37.896,,57.9763434146497,0.6589091731953189,,
2019-11-15,37.64,37.83,36.66,36.68,2419919,0.0,37.494,,49.139965157747916,0.5129536657826819,,
2019-11-18,36.84,36.97,36.32,36.7,4049415,0.0,37.166000000000004,,49.34781340554411,0.39435087603451535,,
2019-11-19,36.88,37.08,36.51,36.62,1123221,0.0,36.986000000000004,,48.49411701526999,0.2905526689550726,,
2019-11-20,36.5528,36.87,36.45,36.59,709428,0.0,36.814,,48.15766979321999,0.20352498342041514,,
2019-11-21,36.68,36.69,35.69,35.78,858266,0.0,36.474000000000004,,40.07352808398223,0.06840614166625159,,
2019-11-22,35.76,35.85,35.45,35.48,973672,0.0,36.233999999999995,,37.558745465158985,-0.0621673798410427,,
2019-11-25,35.66,35.69,35.3,35.31,1163733,0.0,35.955999999999996,,36.17344158529488,-0.17732136529728137,0.2937079511574328,-0.4710293164547142
2019-11-26,35.42,35.95,35.32,35.78,939910,0.0,35.788,,42.489088521388894,-0.2280280904804073,0.1893607428298648,-0.4173888333102721
2019-11-27,35.93,36.0,35.7,35.87,685732,0.0,35.64399999999999,,43.63915578274135,-0.257977483823538,0.09989309749918422,-0.35787058132272226
2019-11-29,35.89,36.185,35.69,35.85,340373,0.0,35.657999999999994,,43.4313067269965,-0.2800976354875502,0.02389495090183734,-0.30399258638938753
2019-12-02,35.87,36.0,35.37,35.44,1017009,0.0,35.64999999999999,,39.299006809101336,-0.3269427955036619,-0.04627259837926251,-0.2806701971243994
2019-12-03,35.14,35.54,35.02,35.35,1092675,0.0,35.657999999999994,,38.43452902290711,-0.3670984873054124,-0.11043777616449249,-0.25666071114091993
2019-12-04,35.41,35.86,34.98,35.14,1260127,0.0,35.52999999999999,,36.42131760393732,-0.41112817760814124,-0.17057585645322226,-0.24055232115491898
2019-12-05,35.07,35.135,34.35,34.42,1154483,0.0,35.23999999999999,,30.518847049270732,-0.4983750497529229,-0.2361356951131624,-0.2622393546397605
2019-12-06,34.69,34.89,34.22,34.26,1073003,0.0,34.92199999999998,,29.37940222310482,-0.5738149062794307,-0.30367153734641605,-0.2701433689330146
2019-12-09,34.21,35.01,34.15,34.61,1667608,0.0,34.755999999999986,,35.08864605112022,-0.598460777845446,-0.36262938544622203,-0.23583139239922402
2019-12-10,34.61,34.665,33.62,33.68,928136,0.0,34.42199999999998,,28.49635834776616,-0.6851381897237161,-0.4271311463017209,-0.2580070434219952
2019-12-11,33.63,33.73,33.39,33.47,790365,0.0,34.08799999999999,,27.251332646543062,-0.7619921370388951,-0.49410334444915577,-0.26788879258973936
2019-12-12,33.34,33.51,33.06,33.24,1263199,0.0,33.85199999999999,,25.915822550561273,-0.8318692508950818,-0.561656525738341,-0.2702127251567408
2019-12-13,33.18,33.22,32.79,32.95,1398787,0.0,33.58999999999999,,24.29885925675366,-0.9002701890912945,-0.6293792584089317,-0.2708909306823628
2019-12-16,33.16,33.64,32.96,32.96,1007577,0.0,33.25999999999999,,24.473851656299544,-0.9428034576029489,-0.6920640982477353,-0.25073935935521363
2019-12-17,33.08,33.2,32.73,32.99,1297818,0.0,33.12199999999999,,25.033723517664697,-0.9629898821337051,-0.7462492550249293,-0.21674062710877573
2019-12-18,33.05,33.17,32.8,32.94,850017,0.0,33.01599999999999,,24.705015821216904,-0.971819817226077,-0.7913633674651589,-0.18045644976091813
2019-12-19,32.94,33.09,32.63,32.74,935761,0.0,32.91599999999999,,23.382444767507693,-0.9836174037830503,-0.8298141747287372,-0.1538032290543131
2019-12-20,32.91,33.4,32.76,33.27,1042208,0.0,32.98,,33.536664702894086,-0.9393720097318692,-0.8517257417293637,-0.08764626800250552
2019-12-23,33.39,33.55,33.11,33.39,744639,0.0,33.06599999999999,,35.617214420886114,-0.8844290712617777,-0.8582664076358466,-0.026162663625931115
2019-12-24,33.32,33.3373,32.96,32.99,242784,0.0,33.06599999999999,,32.01914806773635,-0.8632124776312295,-0.8592556216349232,-0.003956855996306352
2019-12-26,33.06,33.3,32.76,32.84,378308,0.0,33.04599999999999,,30.764074945788195,-0.8487184230473943,-0.8571481819174175,0.008429758870023174
2019-12-27,32.91,33.08,32.65,32.68,1041322,0.0,33.03399999999999,,29.43854657379792,-0.8404542102190717,-0.8538093875777484,0.01335517735867664
2019-12-30,32.75,33.09,32.52,32.89,862828,0.0,32.957999999999984,,33.48916701208948,-0.8076494370889691,-0.8445773974799926,0.03692796039102353
2019-12-31,32.89,33.19,32.82,33.16,666915,0.0,32.91199999999999,,38.386494048471334,-0.7512052480316029,-0.8259029675903147,0.07469771955871174
2020-01-02,33.24,33.59,33.09,33.34,1515188,0.0,32.981999999999985,,41.48009137110987,-0.6840628748609419,-0.7975349490444401,0.11347207418349825
2020-01-03,32.99,33.26,32.76,33.23,902149,0.0,33.05999999999999,,40.153266493138794,-0.6324377918940556,-0.7645155176143632,0.13207772572030763
2020-01-06,33.09,33.29,32.8,33.23,711693,0.0,33.16999999999998,,40.153266493138794,-0.5847835212858783,-0.7285691183486662,0.14378559706278793
2020-01-07,33.16,33.4,32.9,33.25,1405737,0.0,33.24199999999998,,40.55422696264349,-0.5391879130169599,-0.6906928772823251,0.1515049642653652
2020-01-08,33.22,33.34,32.99,33.22,1118099,0.0,33.253999999999984,,40.12001860860889,-0.4997134288972447,-0.652496987605309,0.15278355870806437
2020-01-09,33.28,33.88,33.22,33.74,914697,0.0,33.33399999999999,,50.09424937477757,-0.42160990511231233,-0.6063195711067098,0.18470966599439742
2020-01-10,33.81,35.155,33.695,34.73,3188779,0.0,33.633999999999986,,62.799060162861444,-0.2766386553650051,-0.5403833879583688,0.26374473259336373
2020-01-13,34.74,35.09,34.74,34.98,938353,0.0,33.98399999999999,,65.20779534545579,-0.13996159467563274,-0.46029902930182165,0.3203374346261889
2020-01-14,34.98,35.235,34.83,35.05,1556800,0.0,34.34399999999998,,65.87408363593266,-0.02569937795688304,-0.37337909903283395,0.3476797210759509
2020-01-15,35.08,35.29,34.98,35.23,763268,0.0,34.74599999999998,,67.59271235222153,0.07847414657156548,-0.28300844991195406,0.36148259648351955
2020-01-16,35.29,35.73,35.26,35.63,1114849,0.0,35.12399999999998,,71.07842692864888,0.19110611995912308,-0.18818553593773865,0.37929165589686176
2020-01-17,35.78,35.96,35.66,35.85,1310157,0.0,35.34799999999998,,72.81061819572396,0.294722553582325,-0.09160391803372592,0.38632647161605094
2020-01-21,35.84,36.08,35.6,35.89,1666302,0.0,35.52999999999998,,73.12577872158082,0.3757357417078353,0.001864013914586321,0.37387172779324895
2020-01-22,36.04,36.3,35.96,36.09,1756386,0.0,35.73799999999998,,74.7045854618508,0.4508801399063529,0.09166723911293964,0.3592129007934133
2020-01-23,36.02,36.66,35.9,36.6,1431920,0.0,36.01199999999998,,78.21860127886418,0.545299481629911,0.18239368761633393,0.36290579401357714
2020-01-24,36.68,36.91,36.41,36.6,1738778,0.0,36.205999999999975,,78.21860127886418,0.6130605102551527,0.2685270521440977,0.344533458111055
2020-01-27,36.1,36.44,35.88,36.24,1186812,0.0,36.28399999999998,,70.23139505714164,0.6304452419671733,0.3409106901087129,0.28953455185846044
2020-01-28,36.43,36.74,36.33,36.73,1222316,0.0,36.45199999999998,,74.10704645580954,0.6759695161920689,0.4079224553253841,0.2680470608666848
2020-01-29,36.96,38.09,36.88,37.76,2966182,0.0,36.78599999999997,,80.00114281215019,0.7860985684629469,0.4835576779528967,0.3025408905100502
2020-01-30,37.76,38.24,37.51,38.23,1511568,0.0,37.11199999999997,,82.01317725417195,0.9009165032225965,0.5670294430068368,0.33388706021575976
2020-01-31,38.21,38.49,37.82,37.91,1444177,0.0,37.373999999999974,,76.37887316992057,0.9550796543508469,0.6446394852756387,0.3104401690752081
2020-02-03,38.0,38.94,37.98,38.47,1620558,0.0,37.81999999999997,,79.08659543456244,1.0313034376638512,0.7219722757532813,0.30933116191057
2020-02-04,38.89,39.27,38.71,38.98,843398,0.0,38.26999999999997,,81.2001992462722,1.1199539409698929,0.8015686087966036,0.31838533217328924
2020-02-05,39.32,39.49,38.835,38.98,843384,0.0,38.51399999999997,,81.2001992462722,1.1766464556288128,0.8765841781630455,0.3000622774657673
2020-02-06,39.02,39.335,38.77,39.32,828300,0.0,38.73199999999997,,82.56275657114301,1.2347770986735114,0.9482227622651387,0.2865543364083727
2020-02-07,39.19,39.24,38.52,38.59,899431,0.0,38.867999999999974,,70.71253269284614,1.2080158976552724,1.0001813893431655,0.20783450831210692
2020-02-10,38.56,39.04,38.35,38.97,553307,0.0,38.967999999999975,,72.89355614720166,1.203595972097908,1.040864305894114,0.16273166620379387
2020-02-11,39.08,39.56,38.9,39.48,822875,0.0,39.06799999999997,,75.52761830819432,1.2271006347284796,1.0781115716609873,0.14898906306749238
2020-02-12,39.51,40.09,39.37,39.64,973396,0.0,39.199999999999974,,76.3055380888711,1.244295448644408,1.1113483470576715,0.1329471015867365
2020-02-13,39.5,39.965,39.4,39.82,423170,0.0,39.29999999999997,,77.18421886511254,1.2579461381951376,1.1406679052851647,0.11727823290997286
2020-02-14,39.88,40.15,39.73,39.82,418528,0.0,39.54599999999997,,77.18421886511254,1.2543055543594406,1.16339543510002,0.09091011925942061
2020-02-18,39.77,39.8,39.35,39.41,805082,0.0,39.63399999999997,,70.29760804277763,1.2044526119883443,1.171606870477685,0.03284574151065933
2020-02-19,39.52,39.9,39.52,39.73,566858,0.0,39.68399999999997,,72.36971956312003,1.1771951487404664,1.1727245261302413,0.004470622610225128
